round,year,BOT,HAM
1,2017,88823.19298245614,88800.82456140351
1,2018,93234.86206896552,92729.63793103448
1,2019,88402.1551724138,88762.25862068965
1,2020,76841.39436619719,76851.0985915493
1,2021,99308.57142857143,98641.01785714286
2,2017,105445.82142857143,104574.25
2,2018,96888.40350877192,96990.38596491228
2,2019,99373.24561403508,99320.9649122807
2,2020,70202.84507042254,70009.61971830986
2,2021,,117088.85714285714
3,2017,99188.9649122807,98947.9649122807
3,2018,102594.17857142857,102738.66071428572
3,2019,98801.82142857143,98684.82142857143
3,2020,82598.92857142857,82463.9
3,2021,86438.65151515152,85930.62121212122
4,2017,101706.59615384616,102405.05769230767
4,2018,,122044.92156862744
4,2019,108096.90196078432,108126.7843137255
4,2020,102374.03846153848,101563.1346153846
4,2021,85065.0,84661.81818181818
5,2017,,87219.65151515152
5,2018,87129.77272727272,86817.75757575757
5,2019,87189.65151515152,87127.92424242424
5,2020,92331.23076923077,92179.21153846152
5,2021,,76987.83333333333
6,2017,80639.19230769231,80771.03846153847
6,2018,79405.5,79382.30769230769
6,2019,79635.88461538461,79595.34615384616
6,2020,84091.37878787878,83413.31818181818
6,2021,157405.3725490196,157530.9411764706
7,2017,80070.52857142857,79787.91428571429
7,2018,78216.95588235294,78425.5294117647
7,2019,77116.1,76386.91428571429
7,2020,114936.56818181818,114744.56818181818
7,2021,99252.60377358492,99031.58490566038
8,2017,145872.0980392157,145916.88235294115
8,2018,103622.96226415096,102101.60377358492
8,2019,96023.6603773585,95682.98113207548
8,2020,121380.45283018867,121571.71698113208
8,2021,70222.98591549296,70065.74647887323
9,2017,69134.12676056338,69238.77464788733
9,2019,69588.47887323944,69642.6338028169
9,2020,142032.88135593222,141950.16949152542
9,2021,71162.19718309859,71563.30985915494
10,2017,96107.70588235294,95831.96078431372
10,2018,101128.21153846152,101000.92307692308
10,2019,94103.46153846152,93624.07692307692
10,2020,106421.96226415096,106850.81132075471
10,2021,136815.5576923077,136601.61538461538
11,2017,85702.5,85708.54285714286
11,2018,82901.19402985074,82833.50746268657
11,2019,,98295.96875
11,2020,,95827.35
11,2021,,106941.92857142857
12,2017,115892.63636363635,115518.63636363635
12,2018,84091.81428571428,83377.52857142857
12,2019,83129.33333333333,81482.8
12,2020,82157.87878787878,81770.12121212122
13,2017,85599.67924528301,85515.32075471699
13,2018,115410.93181818182,114216.75
13,2019,114506.70454545454,114242.97727272728
13,2020,84416.07936507936,84324.28571428571
13,2021,75859.09722222222,75365.65277777778
14,2017,127799.03448275862,127647.31034482758
14,2018,87331.1320754717,87065.7358490566
14,2019,85424.52830188679,86072.90566037736
14,2020,108623.28070175438,105850.22413793104
14,2021,92816.71698113208,
15,2017,97451.98214285714,96679.64285714286
15,2018,110221.98360655738,109370.67213114754
15,2019,116717.80327868852,116693.03278688523
15,2020,126442.01754385963,126096.75438596492
15,2021,103934.60377358492,102660.39622641508
16,2017,99278.75471698112,99079.1320754717
16,2018,99013.69811320756,98965.679245283
16,2019,106090.96226415096,106018.71698113208
16,2020,63109.22988505747,
16,2021,94208.6724137931,94929.56896551725
17,2017,101177.82142857143,100553.41071428572
17,2018,99056.24528301888,98812.49056603774
17,2019,94360.67307692308,94627.17307692308
17,2020,105538.56363636364,105582.90909090907
17,2021,102797.85714285714,101390.80357142857
18,2017,81777.88732394367,83363.94285714286
18,2018,101489.05357142857,101089.01785714286
18,2019,81865.59154929577,81815.54929577465
18,2021,86261.14492753622,83600.57746478873
19,2017,77310.19718309859,77348.30985915494
19,2018,84592.14285714286,84332.23943661971
19,2019,100636.66071428572,100710.73214285714
19,2021,78259.5352112676,78068.32394366198
20,2017,102801.12727272727,102872.0181818182
20,2018,73971.95774647887,73648.81690140846
20,2019,,78884.74647887323
20,2021,,88920.54385964913
21,2018,109606.16363636364,108734.2181818182
21,2019,103456.25454545456,102649.36363636365
21,2021,152052.98,151502.36
22,2021,93531.1724137931,93441.39655172414
